country,date,sector,MtCO2 per day
India,01/01/2023,Domestic Aviation,0.019884
India,01/01/2023,Ground Transport,0.784993
India,01/01/2023,Industry,2.16864
India,01/01/2023,International Aviation,0.0144963
India,01/01/2023,Power,4.14562
India,01/01/2023,Residential,1.7116
India,02/01/2023,Domestic Aviation,0.0199289
India,02/01/2023,Ground Transport,0.794231
India,02/01/2023,Industry,2.23386
India,02/01/2023,International Aviation,0.0126266
India,02/01/2023,Power,4.27029
India,02/01/2023,Residential,1.92748
India,03/01/2023,Domestic Aviation,0.0200217
India,03/01/2023,Ground Transport,0.802221
India,03/01/2023,Industry,2.25824
India,03/01/2023,International Aviation,0.0126985
India,03/01/2023,Power,4.31689
India,03/01/2023,Residential,2.22224
India,04/01/2023,Domestic Aviation,0.0198004
India,04/01/2023,Ground Transport,0.814051
India,04/01/2023,Industry,2.19918
India,04/01/2023,International Aviation,0.0141918
India,04/01/2023,Power,4.204
India,04/01/2023,Residential,2.54038
India,05/01/2023,Domestic Aviation,0.0200098
India,05/01/2023,Ground Transport,0.813887
India,05/01/2023,Industry,2.20756
India,05/01/2023,International Aviation,0.0134314
India,05/01/2023,Power,4.22002
India,05/01/2023,Residential,2.71195
India,06/01/2023,Domestic Aviation,0.0201114
India,06/01/2023,Ground Transport,0.814073
India,06/01/2023,Industry,2.24803
India,06/01/2023,International Aviation,0.0142625
India,06/01/2023,Power,4.29738
India,06/01/2023,Residential,2.73223
India,07/01/2023,Domestic Aviation,0.0199758
India,07/01/2023,Ground Transport,0.826013
India,07/01/2023,Industry,2.31915
India,07/01/2023,International Aviation,0.0147788
India,07/01/2023,Power,4.43333
India,07/01/2023,Residential,2.55025
India,08/01/2023,Domestic Aviation,0.0197538
India,08/01/2023,Ground Transport,0.754378
India,08/01/2023,Industry,2.25582
India,08/01/2023,International Aviation,0.0152433
India,08/01/2023,Power,4.31228
India,08/01/2023,Residential,2.28016
India,09/01/2023,Domestic Aviation,0.0196833
India,09/01/2023,Ground Transport,0.821691
India,09/01/2023,Industry,2.31327
India,09/01/2023,International Aviation,0.0128043
India,09/01/2023,Power,4.42209
India,09/01/2023,Residential,2.01957
India,10/01/2023,Domestic Aviation,0.0198012
India,10/01/2023,Ground Transport,0.815953
India,10/01/2023,Industry,2.30866
India,10/01/2023,International Aviation,0.0129179
India,10/01/2023,Power,4.41329
India,10/01/2023,Residential,1.8696
India,11/01/2023,Domestic Aviation,0.0196946
India,11/01/2023,Ground Transport,0.821849
India,11/01/2023,Industry,2.32511
India,11/01/2023,International Aviation,0.0140872
India,11/01/2023,Power,4.44473
India,11/01/2023,Residential,1.90894
India,12/01/2023,Domestic Aviation,0.0200679
India,12/01/2023,Ground Transport,0.830075
India,12/01/2023,Industry,2.30974
India,12/01/2023,International Aviation,0.0132433
India,12/01/2023,Power,4.41535
India,12/01/2023,Residential,1.56474
India,13/01/2023,Domestic Aviation,0.020183
India,13/01/2023,Ground Transport,0.829871
India,13/01/2023,Industry,2.32286
India,13/01/2023,International Aviation,0.0146546
India,13/01/2023,Power,4.44043
India,13/01/2023,Residential,1.26524
India,14/01/2023,Domestic Aviation,0.0202744
India,14/01/2023,Ground Transport,0.803569
India,14/01/2023,Industry,2.20351
India,14/01/2023,International Aviation,0.0147665
India,14/01/2023,Power,4.21227
India,14/01/2023,Residential,1.46651
India,15/01/2023,Domestic Aviation,0.0202438
India,15/01/2023,Ground Transport,0.773604
India,15/01/2023,Industry,2.11073
India,15/01/2023,International Aviation,0.0149656
India,15/01/2023,Power,4.03491
India,15/01/2023,Residential,2.08263
India,16/01/2023,Domestic Aviation,0.0204044
India,16/01/2023,Ground Transport,0.82592
India,16/01/2023,Industry,2.19369
India,16/01/2023,International Aviation,0.0128124
India,16/01/2023,Power,4.1935
India,16/01/2023,Residential,2.30888
India,17/01/2023,Domestic Aviation,0.0204951
India,17/01/2023,Ground Transport,0.831814
India,17/01/2023,Industry,2.24012
India,17/01/2023,International Aviation,0.0131292
India,17/01/2023,Power,4.28227
India,17/01/2023,Residential,2.32938
India,18/01/2023,Domestic Aviation,0.0203579
India,18/01/2023,Ground Transport,0.836348
India,18/01/2023,Industry,2.28617
India,18/01/2023,International Aviation,0.0143951
India,18/01/2023,Power,4.37029
India,18/01/2023,Residential,2.16778
India,19/01/2023,Domestic Aviation,0.019903
India,19/01/2023,Ground Transport,0.823665
India,19/01/2023,Industry,2.27838
India,19/01/2023,International Aviation,0.0135727
India,19/01/2023,Power,4.35539
India,19/01/2023,Residential,1.57641
India,20/01/2023,Domestic Aviation,0.0198946
India,20/01/2023,Ground Transport,0.830919
India,20/01/2023,Industry,2.29155
India,20/01/2023,International Aviation,0.0145923
India,20/01/2023,Power,4.38057
India,20/01/2023,Residential,1.43497
India,21/01/2023,Domestic Aviation,0.0195787
India,21/01/2023,Ground Transport,0.822212
India,21/01/2023,Industry,2.27382
India,21/01/2023,International Aviation,0.014749
India,21/01/2023,Power,4.34669
India,21/01/2023,Residential,1.14436
India,22/01/2023,Domestic Aviation,0.0196108
India,22/01/2023,Ground Transport,0.751417
India,22/01/2023,Industry,2.21369
India,22/01/2023,International Aviation,0.0144675
India,22/01/2023,Power,4.23174
India,22/01/2023,Residential,0.98738
India,23/01/2023,Domestic Aviation,0.0197329
India,23/01/2023,Ground Transport,0.837141
India,23/01/2023,Industry,2.24409
India,23/01/2023,International Aviation,0.012805
India,23/01/2023,Power,4.28985
India,23/01/2023,Residential,0.770617
India,24/01/2023,Domestic Aviation,0.0197487
India,24/01/2023,Ground Transport,0.825801
India,24/01/2023,Industry,2.27926
India,24/01/2023,International Aviation,0.0126578
India,24/01/2023,Power,4.35709
India,24/01/2023,Residential,0.786732
India,25/01/2023,Domestic Aviation,0.0202598
India,25/01/2023,Ground Transport,0.836295
India,25/01/2023,Industry,2.23638
India,25/01/2023,International Aviation,0.0139131
India,25/01/2023,Power,4.27511
India,25/01/2023,Residential,0.827575
India,26/01/2023,Domestic Aviation,0.0198684
India,26/01/2023,Ground Transport,0.590932
India,26/01/2023,Industry,2.04449
India,26/01/2023,International Aviation,0.0126405
India,26/01/2023,Power,3.90828
India,26/01/2023,Residential,0.954643
India,27/01/2023,Domestic Aviation,0.0202734
India,27/01/2023,Ground Transport,0.820971
India,27/01/2023,Industry,2.11123
India,27/01/2023,International Aviation,0.0138762
India,27/01/2023,Power,4.03586
India,27/01/2023,Residential,1.13947
India,28/01/2023,Domestic Aviation,0.0205298
India,28/01/2023,Ground Transport,0.815816
India,28/01/2023,Industry,2.18232
India,28/01/2023,International Aviation,0.013437
India,28/01/2023,Power,4.17176
